normales,especiales,observacion,
JAI 40008,,,
JAI 40009,,,
JAI 40011,,,
JAI 40012,,,
JAI 40013,,,
JAI 40014,,,
JAI 40015,,,
JAI 40016,,,
JAI 40018,,,
JAI 40019,,,
JAI 40020,,,
JAI 40021,,,
JAI 40022,,,
JAI 40023,,,
JAI 40024,,,
JAI 40033,,,
JAI 40035,,,
JAI 40036,,,
JAI 40037,,,
JAI 40038,,,
JAI 40039,,,
JAI 40041,,,
JAI 40042,,,
JAI 40043,,,
JAI 40045,,,
JAI 40046,,,
JAI 40047,,,
JAI 40049,,,
JAI 40050,,,
JAI 40051,,,
JAI 40052,,,
JAI 40053,,,
JAI 40054,,,
JAI 40056,,,
JAI 40057,,,
JAI 40058,,,
JAI 40060,,,
JAI 40061,,,
JAI 40062,,,
JAI 40063,,,
JAI 40064,,,
JAI 40065,,,
JAI 40066,,,
JAI 40070,,,
JAI 40071,,,
JAI 40072,,,
JAI 40073,,,
JAI 40074,,,
JAI 40075,,,
JAI 40076,,,
JAI 40077,,,
JAI 40078,,,
JAI 40081,,,
JAI 40082,,,
JAI 40083,,,
JAI 40085,,,
JAI 40086,,,
JAI 40087,,,
JAI 40089,,,
JAI 40090,,,
JAI 40097,,,
JAI 40098,,,
JAI 40099,,,
JAI 40100,,,
JAI 10012,,,
JAI 11225,,,
JAI 11226,,,
JAI 11012,,,
